Customer_ID|Customer_Name|Customer_Email|Customer_City|Customer_State|Customer_DOB
1669021274299|Victor Hughes|augue@loremlorem.com|Wagga Wagga|NSW|2008-05-21
1691110815599|Calvin Shannon|venenatis@sodalesat.org|Wodonga|Victoria|1965-10-10
1634111410699|Kuame Casey|nonummy@inmolestie.co.uk|Geraldton-Greenough|WA|1976-12-09
1630092881799|Renee Frye|ornare.elit.elit@diam.edu|Newcastle|NSW|1970-06-24
1689090683499|Ima Thomas|nonummy.ac@acfacilisisfacilisis.org|Sydney|New South Wales|2010-10-11
1680021235699|Keelie Lloyd|turpis.vitae.purus@penatibus.net|Bairnsdale|VIC|2002-05-03
1694121994499|Melanie Watson|Praesent.interdum.ligula@augueeu.net|Mount Gambier|SA|1999-04-06
1667092014699|Abbot Cotton|id@velitCraslorem.net|Melton|VIC|1960-12-12
1662052855099|Kaye Harvey|fringilla@elitNulla.net|Ipswich|QLD|1990-10-27
1640032360199|Darius Duke|pharetra@aliquetlobortisnisi.net|Bendigo|Victoria|1988-02-06
1677082308699|Quyn Dillard|aliquet.odio.Etiam@imperdietdictum.co.uk|Tamworth|New South Wales|2004-02-12
1678072216599|Chancellor Ross|Cras.pellentesque.Sed@etcommodoat.co.uk|Port Augusta|South Australia|1987-09-04
1656111788699|Gillian Watson|Maecenas@auguescelerisquemollis.net|Orange|New South Wales|1981-01-12
1664080588899|Calvin Schneider|est.arcu@tortorInteger.org|Albury|New South Wales|1980-02-09
